agreement	disagreement	number	subject_index	verb_index	completed
The man openly discourages	The man openly discourage	singular	1	3	The man openly discourages the person.
The man openly inspires	The man openly inspire	singular	1	3	The man openly inspires the person.
The man openly knows	The man openly know	singular	1	3	The man openly knows the person.
The man openly criticizes	The man openly criticize	singular	1	3	The man openly criticizes the person.
The man openly understands	The man openly understand	singular	1	3	The man openly understands the person.
The man openly encourages	The man openly encourage	singular	1	3	The man openly encourages the person.
The man openly avoids	The man openly avoid	singular	1	3	The man openly avoids the person.
The man openly greets	The man openly greet	singular	1	3	The man openly greets the person.
The man openly remembers	The man openly remember	singular	1	3	The man openly remembers the person.
The man openly admires	The man openly admire	singular	1	3	The man openly admires the person.
The man openly stimulates	The man openly stimulate	singular	1	3	The man openly stimulates the person.
The man openly observes	The man openly observe	singular	1	3	The man openly observes the person.
The man openly confuses	The man openly confuse	singular	1	3	The man openly confuses the person.
The man knowingly discourages	The man knowingly discourage	singular	1	3	The man knowingly discourages the person.
The man knowingly inspires	The man knowingly inspire	singular	1	3	The man knowingly inspires the person.
The man knowingly knows	The man knowingly know	singular	1	3	The man knowingly knows the person.
The man knowingly criticizes	The man knowingly criticize	singular	1	3	The man knowingly criticizes the person.
The man knowingly understands	The man knowingly understand	singular	1	3	The man knowingly understands the person.
The man knowingly encourages	The man knowingly encourage	singular	1	3	The man knowingly encourages the person.
The man knowingly avoids	The man knowingly avoid	singular	1	3	The man knowingly avoids the person.
The man knowingly greets	The man knowingly greet	singular	1	3	The man knowingly greets the person.
The man knowingly remembers	The man knowingly remember	singular	1	3	The man knowingly remembers the person.
The man knowingly admires	The man knowingly admire	singular	1	3	The man knowingly admires the person.
The man knowingly stimulates	The man knowingly stimulate	singular	1	3	The man knowingly stimulates the person.
The man knowingly observes	The man knowingly observe	singular	1	3	The man knowingly observes the person.
The man knowingly confuses	The man knowingly confuse	singular	1	3	The man knowingly confuses the person.
The man certainly discourages	The man certainly discourage	singular	1	3	The man certainly discourages the person.
The man certainly inspires	The man certainly inspire	singular	1	3	The man certainly inspires the person.
The man certainly knows	The man certainly know	singular	1	3	The man certainly knows the person.
The man certainly criticizes	The man certainly criticize	singular	1	3	The man certainly criticizes the person.
The man certainly understands	The man certainly understand	singular	1	3	The man certainly understands the person.
The man certainly encourages	The man certainly encourage	singular	1	3	The man certainly encourages the person.
The man certainly avoids	The man certainly avoid	singular	1	3	The man certainly avoids the person.
The man certainly greets	The man certainly greet	singular	1	3	The man certainly greets the person.
The man certainly remembers	The man certainly remember	singular	1	3	The man certainly remembers the person.
The man certainly admires	The man certainly admire	singular	1	3	The man certainly admires the person.
The man certainly stimulates	The man certainly stimulate	singular	1	3	The man certainly stimulates the person.
The man certainly observes	The man certainly observe	singular	1	3	The man certainly observes the person.
The man certainly confuses	The man certainly confuse	singular	1	3	The man certainly confuses the person.
The man overtly discourages	The man overtly discourage	singular	1	3	The man overtly discourages the person.
The man overtly inspires	The man overtly inspire	singular	1	3	The man overtly inspires the person.
The man overtly knows	The man overtly know	singular	1	3	The man overtly knows the person.
The man overtly criticizes	The man overtly criticize	singular	1	3	The man overtly criticizes the person.
The man overtly understands	The man overtly understand	singular	1	3	The man overtly understands the person.
The man overtly encourages	The man overtly encourage	singular	1	3	The man overtly encourages the person.
The man overtly avoids	The man overtly avoid	singular	1	3	The man overtly avoids the person.
The man overtly greets	The man overtly greet	singular	1	3	The man overtly greets the person.
The man overtly remembers	The man overtly remember	singular	1	3	The man overtly remembers the person.
The man overtly admires	The man overtly admire	singular	1	3	The man overtly admires the person.
The man overtly stimulates	The man overtly stimulate	singular	1	3	The man overtly stimulates the person.
The man overtly observes	The man overtly observe	singular	1	3	The man overtly observes the person.
The man overtly confuses	The man overtly confuse	singular	1	3	The man overtly confuses the person.
The man probably discourages	The man probably discourage	singular	1	3	The man probably discourages the person.
The man probably inspires	The man probably inspire	singular	1	3	The man probably inspires the person.
The man probably knows	The man probably know	singular	1	3	The man probably knows the person.
The man probably criticizes	The man probably criticize	singular	1	3	The man probably criticizes the person.
The man probably understands	The man probably understand	singular	1	3	The man probably understands the person.
The man probably encourages	The man probably encourage	singular	1	3	The man probably encourages the person.
The man probably avoids	The man probably avoid	singular	1	3	The man probably avoids the person.
The man probably greets	The man probably greet	singular	1	3	The man probably greets the person.
The man probably remembers	The man probably remember	singular	1	3	The man probably remembers the person.
The man probably admires	The man probably admire	singular	1	3	The man probably admires the person.
The man probably stimulates	The man probably stimulate	singular	1	3	The man probably stimulates the person.
The man probably observes	The man probably observe	singular	1	3	The man probably observes the person.
