agreement	disagreement	number	subject_index	verb_index	completed
The child behind Jim stimulates	The child behind Jim stimulate	singular	1	4	The child behind Jim stimulates the person .
The child behind Jim avoids	The child behind Jim avoid	singular	1	4	The child behind Jim avoids the person .
The child behind Jim discourages	The child behind Jim discourage	singular	1	4	The child behind Jim discourages the person .
The child behind Jim criticizes	The child behind Jim criticize	singular	1	4	The child behind Jim criticizes the person .
The child behind Jim encourages	The child behind Jim encourage	singular	1	4	The child behind Jim encourages the person .
The child behind Jim understands	The child behind Jim understand	singular	1	4	The child behind Jim understands the person .
The child behind Jim greets	The child behind Jim greet	singular	1	4	The child behind Jim greets the person .
The child behind Jim admires	The child behind Jim admire	singular	1	4	The child behind Jim admires the person .
The child behind Jim confuses	The child behind Jim confuse	singular	1	4	The child behind Jim confuses the person .
The child behind Jim observes	The child behind Jim observe	singular	1	4	The child behind Jim observes the person .
The child behind Jim knows	The child behind Jim know	singular	1	4	The child behind Jim knows the person .
The child behind Jim inspires	The child behind Jim inspire	singular	1	4	The child behind Jim inspires the person .
The child behind Bill stimulates	The child behind Bill stimulate	singular	1	4	The child behind Bill stimulates the person .
The child behind Bill avoids	The child behind Bill avoid	singular	1	4	The child behind Bill avoids the person .
The child behind Bill discourages	The child behind Bill discourage	singular	1	4	The child behind Bill discourages the person .
The child behind Bill criticizes	The child behind Bill criticize	singular	1	4	The child behind Bill criticizes the person .
The child behind Bill encourages	The child behind Bill encourage	singular	1	4	The child behind Bill encourages the person .
The child behind Bill understands	The child behind Bill understand	singular	1	4	The child behind Bill understands the person .
The child behind Bill greets	The child behind Bill greet	singular	1	4	The child behind Bill greets the person .
The child behind Bill admires	The child behind Bill admire	singular	1	4	The child behind Bill admires the person .
The child behind Bill confuses	The child behind Bill confuse	singular	1	4	The child behind Bill confuses the person .
The child behind Bill observes	The child behind Bill observe	singular	1	4	The child behind Bill observes the person .
The child behind Bill knows	The child behind Bill know	singular	1	4	The child behind Bill knows the person .
The child behind Bill inspires	The child behind Bill inspire	singular	1	4	The child behind Bill inspires the person .
The child behind Linda stimulates	The child behind Linda stimulate	singular	1	4	The child behind Linda stimulates the person .
The child behind Linda avoids	The child behind Linda avoid	singular	1	4	The child behind Linda avoids the person .
The child behind Linda discourages	The child behind Linda discourage	singular	1	4	The child behind Linda discourages the person .
The child behind Linda criticizes	The child behind Linda criticize	singular	1	4	The child behind Linda criticizes the person .
The child behind Linda encourages	The child behind Linda encourage	singular	1	4	The child behind Linda encourages the person .
The child behind Linda understands	The child behind Linda understand	singular	1	4	The child behind Linda understands the person .
The child behind Linda greets	The child behind Linda greet	singular	1	4	The child behind Linda greets the person .
The child behind Linda admires	The child behind Linda admire	singular	1	4	The child behind Linda admires the person .
The child behind Linda confuses	The child behind Linda confuse	singular	1	4	The child behind Linda confuses the person .
The child behind Linda observes	The child behind Linda observe	singular	1	4	The child behind Linda observes the person .
The child behind Linda knows	The child behind Linda know	singular	1	4	The child behind Linda knows the person .
The child behind Linda inspires	The child behind Linda inspire	singular	1	4	The child behind Linda inspires the person .
The child behind John stimulates	The child behind John stimulate	singular	1	4	The child behind John stimulates the person .
The child behind John avoids	The child behind John avoid	singular	1	4	The child behind John avoids the person .
The child behind John discourages	The child behind John discourage	singular	1	4	The child behind John discourages the person .
The child behind John criticizes	The child behind John criticize	singular	1	4	The child behind John criticizes the person .
The child behind John encourages	The child behind John encourage	singular	1	4	The child behind John encourages the person .
The child behind John understands	The child behind John understand	singular	1	4	The child behind John understands the person .
The child behind John greets	The child behind John greet	singular	1	4	The child behind John greets the person .
The child behind John admires	The child behind John admire	singular	1	4	The child behind John admires the person .
The child behind John confuses	The child behind John confuse	singular	1	4	The child behind John confuses the person .
The child behind John observes	The child behind John observe	singular	1	4	The child behind John observes the person .
The child behind John knows	The child behind John know	singular	1	4	The child behind John knows the person .
The child behind John inspires	The child behind John inspire	singular	1	4	The child behind John inspires the person .
The child behind Barbara stimulates	The child behind Barbara stimulate	singular	1	4	The child behind Barbara stimulates the person .
The child behind Barbara avoids	The child behind Barbara avoid	singular	1	4	The child behind Barbara avoids the person .
The child behind Barbara discourages	The child behind Barbara discourage	singular	1	4	The child behind Barbara discourages the person .
The child behind Barbara criticizes	The child behind Barbara criticize	singular	1	4	The child behind Barbara criticizes the person .
The child behind Barbara encourages	The child behind Barbara encourage	singular	1	4	The child behind Barbara encourages the person .
The child behind Barbara understands	The child behind Barbara understand	singular	1	4	The child behind Barbara understands the person .
The child behind Barbara greets	The child behind Barbara greet	singular	1	4	The child behind Barbara greets the person .
The child behind Barbara admires	The child behind Barbara admire	singular	1	4	The child behind Barbara admires the person .
The child behind Barbara confuses	The child behind Barbara confuse	singular	1	4	The child behind Barbara confuses the person .
The child behind Barbara observes	The child behind Barbara observe	singular	1	4	The child behind Barbara observes the person .
The child behind Barbara knows	The child behind Barbara know	singular	1	4	The child behind Barbara knows the person .
The child behind Barbara inspires	The child behind Barbara inspire	singular	1	4	The child behind Barbara inspires the person .
The child behind Sue stimulates	The child behind Sue stimulate	singular	1	4	The child behind Sue stimulates the person .
The child behind Sue avoids	The child behind Sue avoid	singular	1	4	The child behind Sue avoids the person .
The child behind Sue discourages	The child behind Sue discourage	singular	1	4	The child behind Sue discourages the person .
The child behind Sue criticizes	The child behind Sue criticize	singular	1	4	The child behind Sue criticizes the person .
The child behind Sue encourages	The child behind Sue encourage	singular	1	4	The child behind Sue encourages the person .
The child behind Sue understands	The child behind Sue understand	singular	1	4	The child behind Sue understands the person .
The child behind Sue greets	The child behind Sue greet	singular	1	4	The child behind Sue greets the person .
The child behind Sue admires	The child behind Sue admire	singular	1	4	The child behind Sue admires the person .
The child behind Sue confuses	The child behind Sue confuse	singular	1	4	The child behind Sue confuses the person .
The child behind Sue observes	The child behind Sue observe	singular	1	4	The child behind Sue observes the person .
The child behind Sue knows	The child behind Sue know	singular	1	4	The child behind Sue knows the person .
The child behind Sue inspires	The child behind Sue inspire	singular	1	4	The child behind Sue inspires the person .
The child behind Mike stimulates	The child behind Mike stimulate	singular	1	4	The child behind Mike stimulates the person .
The child behind Mike avoids	The child behind Mike avoid	singular	1	4	The child behind Mike avoids the person .
The child behind Mike discourages	The child behind Mike discourage	singular	1	4	The child behind Mike discourages the person .
The child behind Mike criticizes	The child behind Mike criticize	singular	1	4	The child behind Mike criticizes the person .
The child behind Mike encourages	The child behind Mike encourage	singular	1	4	The child behind Mike encourages the person .
The child behind Mike understands	The child behind Mike understand	singular	1	4	The child behind Mike understands the person .
The child behind Mike greets	The child behind Mike greet	singular	1	4	The child behind Mike greets the person .
The child behind Mike admires	The child behind Mike admire	singular	1	4	The child behind Mike admires the person .
The child behind Mike confuses	The child behind Mike confuse	singular	1	4	The child behind Mike confuses the person .
The child behind Mike observes	The child behind Mike observe	singular	1	4	The child behind Mike observes the person .
The child behind Mike knows	The child behind Mike know	singular	1	4	The child behind Mike knows the person .
The child behind Mike inspires	The child behind Mike inspire	singular	1	4	The child behind Mike inspires the person .
The child behind Bob stimulates	The child behind Bob stimulate	singular	1	4	The child behind Bob stimulates the person .
The child behind Bob avoids	The child behind Bob avoid	singular	1	4	The child behind Bob avoids the person .
The child behind Bob discourages	The child behind Bob discourage	singular	1	4	The child behind Bob discourages the person .
The child behind Bob criticizes	The child behind Bob criticize	singular	1	4	The child behind Bob criticizes the person .
The child behind Bob encourages	The child behind Bob encourage	singular	1	4	The child behind Bob encourages the person .
The child behind Bob understands	The child behind Bob understand	singular	1	4	The child behind Bob understands the person .
