agreement	disagreement	number	subject_index	verb_index	completed
The boy beside the window greets	The boy beside the window greet	singular	1	5	The boy beside the window greets the person .
The boy beside the window observes	The boy beside the window observe	singular	1	5	The boy beside the window observes the person .
The boy beside the window inspires	The boy beside the window inspire	singular	1	5	The boy beside the window inspires the person .
The boy beside the window confuses	The boy beside the window confuse	singular	1	5	The boy beside the window confuses the person .
The boy beside the window understands	The boy beside the window understand	singular	1	5	The boy beside the window understands the person .
The boy beside the window remembers	The boy beside the window remember	singular	1	5	The boy beside the window remembers the person .
The boy beside the window admires	The boy beside the window admire	singular	1	5	The boy beside the window admires the person .
The boy beside the window avoids	The boy beside the window avoid	singular	1	5	The boy beside the window avoids the person .
The boy beside the window knows	The boy beside the window know	singular	1	5	The boy beside the window knows the person .
The boy beside the window encourages	The boy beside the window encourage	singular	1	5	The boy beside the window encourages the person .
The boy beside the window stimulates	The boy beside the window stimulate	singular	1	5	The boy beside the window stimulates the person .
The boy beside the window discourages	The boy beside the window discourage	singular	1	5	The boy beside the window discourages the person .
The boy beside the window criticizes	The boy beside the window criticize	singular	1	5	The boy beside the window criticizes the person .
The boy beside the desk greets	The boy beside the desk greet	singular	1	5	The boy beside the desk greets the person .
The boy beside the desk observes	The boy beside the desk observe	singular	1	5	The boy beside the desk observes the person .
The boy beside the desk inspires	The boy beside the desk inspire	singular	1	5	The boy beside the desk inspires the person .
The boy beside the desk confuses	The boy beside the desk confuse	singular	1	5	The boy beside the desk confuses the person .
The boy beside the desk understands	The boy beside the desk understand	singular	1	5	The boy beside the desk understands the person .
The boy beside the desk remembers	The boy beside the desk remember	singular	1	5	The boy beside the desk remembers the person .
The boy beside the desk admires	The boy beside the desk admire	singular	1	5	The boy beside the desk admires the person .
The boy beside the desk avoids	The boy beside the desk avoid	singular	1	5	The boy beside the desk avoids the person .
The boy beside the desk knows	The boy beside the desk know	singular	1	5	The boy beside the desk knows the person .
The boy beside the desk encourages	The boy beside the desk encourage	singular	1	5	The boy beside the desk encourages the person .
The boy beside the desk stimulates	The boy beside the desk stimulate	singular	1	5	The boy beside the desk stimulates the person .
The boy beside the desk discourages	The boy beside the desk discourage	singular	1	5	The boy beside the desk discourages the person .
The boy beside the desk criticizes	The boy beside the desk criticize	singular	1	5	The boy beside the desk criticizes the person .
The boy beside the car greets	The boy beside the car greet	singular	1	5	The boy beside the car greets the person .
The boy beside the car observes	The boy beside the car observe	singular	1	5	The boy beside the car observes the person .
The boy beside the car inspires	The boy beside the car inspire	singular	1	5	The boy beside the car inspires the person .
The boy beside the car confuses	The boy beside the car confuse	singular	1	5	The boy beside the car confuses the person .
The boy beside the car understands	The boy beside the car understand	singular	1	5	The boy beside the car understands the person .
The boy beside the car remembers	The boy beside the car remember	singular	1	5	The boy beside the car remembers the person .
The boy beside the car admires	The boy beside the car admire	singular	1	5	The boy beside the car admires the person .
The boy beside the car avoids	The boy beside the car avoid	singular	1	5	The boy beside the car avoids the person .
The boy beside the car knows	The boy beside the car know	singular	1	5	The boy beside the car knows the person .
The boy beside the car encourages	The boy beside the car encourage	singular	1	5	The boy beside the car encourages the person .
The boy beside the car stimulates	The boy beside the car stimulate	singular	1	5	The boy beside the car stimulates the person .
The boy beside the car discourages	The boy beside the car discourage	singular	1	5	The boy beside the car discourages the person .
The boy beside the car criticizes	The boy beside the car criticize	singular	1	5	The boy beside the car criticizes the person .
The boy beside the dog greets	The boy beside the dog greet	singular	1	5	The boy beside the dog greets the person .
The boy beside the dog observes	The boy beside the dog observe	singular	1	5	The boy beside the dog observes the person .
The boy beside the dog inspires	The boy beside the dog inspire	singular	1	5	The boy beside the dog inspires the person .
The boy beside the dog confuses	The boy beside the dog confuse	singular	1	5	The boy beside the dog confuses the person .
The boy beside the dog understands	The boy beside the dog understand	singular	1	5	The boy beside the dog understands the person .
The boy beside the dog remembers	The boy beside the dog remember	singular	1	5	The boy beside the dog remembers the person .
The boy beside the dog admires	The boy beside the dog admire	singular	1	5	The boy beside the dog admires the person .
The boy beside the dog avoids	The boy beside the dog avoid	singular	1	5	The boy beside the dog avoids the person .
The boy beside the dog knows	The boy beside the dog know	singular	1	5	The boy beside the dog knows the person .
The boy beside the dog encourages	The boy beside the dog encourage	singular	1	5	The boy beside the dog encourages the person .
The boy beside the dog stimulates	The boy beside the dog stimulate	singular	1	5	The boy beside the dog stimulates the person .
The boy beside the dog discourages	The boy beside the dog discourage	singular	1	5	The boy beside the dog discourages the person .
The boy beside the dog criticizes	The boy beside the dog criticize	singular	1	5	The boy beside the dog criticizes the person .
The boy beside the tree greets	The boy beside the tree greet	singular	1	5	The boy beside the tree greets the person .
The boy beside the tree observes	The boy beside the tree observe	singular	1	5	The boy beside the tree observes the person .
The boy beside the tree inspires	The boy beside the tree inspire	singular	1	5	The boy beside the tree inspires the person .
The boy beside the tree confuses	The boy beside the tree confuse	singular	1	5	The boy beside the tree confuses the person .
The boy beside the tree understands	The boy beside the tree understand	singular	1	5	The boy beside the tree understands the person .
The boy beside the tree remembers	The boy beside the tree remember	singular	1	5	The boy beside the tree remembers the person .
The boy beside the tree admires	The boy beside the tree admire	singular	1	5	The boy beside the tree admires the person .
The boy beside the tree avoids	The boy beside the tree avoid	singular	1	5	The boy beside the tree avoids the person .
The boy beside the tree knows	The boy beside the tree know	singular	1	5	The boy beside the tree knows the person .
