agreement	disagreement	number	subject_index	verb_index	completed
The father that the mothers understand , greets	The father that the mothers understand , greet	singular	1	7	The father that the mothers understand , greets the person .
The father that the mothers understand , encourages	The father that the mothers understand , encourage	singular	1	7	The father that the mothers understand , encourages the person .
The father that the mothers understand , observes	The father that the mothers understand , observe	singular	1	7	The father that the mothers understand , observes the person .
The father that the mothers understand , discourages	The father that the mothers understand , discourage	singular	1	7	The father that the mothers understand , discourages the person .
The father that the mothers understand , confuses	The father that the mothers understand , confuse	singular	1	7	The father that the mothers understand , confuses the person .
The father that the mothers greet , understands	The father that the mothers greet , understand	singular	1	7	The father that the mothers greet , understands the person .
The father that the mothers greet , encourages	The father that the mothers greet , encourage	singular	1	7	The father that the mothers greet , encourages the person .
The father that the mothers greet , observes	The father that the mothers greet , observe	singular	1	7	The father that the mothers greet , observes the person .
The father that the mothers greet , discourages	The father that the mothers greet , discourage	singular	1	7	The father that the mothers greet , discourages the person .
The father that the mothers greet , confuses	The father that the mothers greet , confuse	singular	1	7	The father that the mothers greet , confuses the person .
The father that the mothers encourage , understands	The father that the mothers encourage , understand	singular	1	7	The father that the mothers encourage , understands the person .
The father that the mothers encourage , greets	The father that the mothers encourage , greet	singular	1	7	The father that the mothers encourage , greets the person .
The father that the mothers encourage , observes	The father that the mothers encourage , observe	singular	1	7	The father that the mothers encourage , observes the person .
The father that the mothers encourage , discourages	The father that the mothers encourage , discourage	singular	1	7	The father that the mothers encourage , discourages the person .
The father that the mothers encourage , confuses	The father that the mothers encourage , confuse	singular	1	7	The father that the mothers encourage , confuses the person .
The father that the mothers observe , understands	The father that the mothers observe , understand	singular	1	7	The father that the mothers observe , understands the person .
The father that the mothers observe , greets	The father that the mothers observe , greet	singular	1	7	The father that the mothers observe , greets the person .
The father that the mothers observe , encourages	The father that the mothers observe , encourage	singular	1	7	The father that the mothers observe , encourages the person .
The father that the mothers observe , discourages	The father that the mothers observe , discourage	singular	1	7	The father that the mothers observe , discourages the person .
The father that the mothers observe , confuses	The father that the mothers observe , confuse	singular	1	7	The father that the mothers observe , confuses the person .
The father that the mothers discourage , understands	The father that the mothers discourage , understand	singular	1	7	The father that the mothers discourage , understands the person .
The father that the mothers discourage , greets	The father that the mothers discourage , greet	singular	1	7	The father that the mothers discourage , greets the person .
The father that the mothers discourage , encourages	The father that the mothers discourage , encourage	singular	1	7	The father that the mothers discourage , encourages the person .
The father that the mothers discourage , observes	The father that the mothers discourage , observe	singular	1	7	The father that the mothers discourage , observes the person .
The father that the mothers discourage , confuses	The father that the mothers discourage , confuse	singular	1	7	The father that the mothers discourage , confuses the person .
The father that the mothers confuse , understands	The father that the mothers confuse , understand	singular	1	7	The father that the mothers confuse , understands the person .
The father that the mothers confuse , greets	The father that the mothers confuse , greet	singular	1	7	The father that the mothers confuse , greets the person .
The father that the mothers confuse , encourages	The father that the mothers confuse , encourage	singular	1	7	The father that the mothers confuse , encourages the person .
The father that the mothers confuse , observes	The father that the mothers confuse , observe	singular	1	7	The father that the mothers confuse , observes the person .
The father that the mothers confuse , discourages	The father that the mothers confuse , discourage	singular	1	7	The father that the mothers confuse , discourages the person .
The father that the victims understand , greets	The father that the victims understand , greet	singular	1	7	The father that the victims understand , greets the person .
The father that the victims understand , encourages	The father that the victims understand , encourage	singular	1	7	The father that the victims understand , encourages the person .
The father that the victims understand , observes	The father that the victims understand , observe	singular	1	7	The father that the victims understand , observes the person .
The father that the victims understand , discourages	The father that the victims understand , discourage	singular	1	7	The father that the victims understand , discourages the person .
The father that the victims understand , confuses	The father that the victims understand , confuse	singular	1	7	The father that the victims understand , confuses the person .
The father that the victims greet , understands	The father that the victims greet , understand	singular	1	7	The father that the victims greet , understands the person .
The father that the victims greet , encourages	The father that the victims greet , encourage	singular	1	7	The father that the victims greet , encourages the person .
The father that the victims greet , observes	The father that the victims greet , observe	singular	1	7	The father that the victims greet , observes the person .
The father that the victims greet , discourages	The father that the victims greet , discourage	singular	1	7	The father that the victims greet , discourages the person .
The father that the victims greet , confuses	The father that the victims greet , confuse	singular	1	7	The father that the victims greet , confuses the person .
The father that the victims encourage , understands	The father that the victims encourage , understand	singular	1	7	The father that the victims encourage , understands the person .
The father that the victims encourage , greets	The father that the victims encourage , greet	singular	1	7	The father that the victims encourage , greets the person .
The father that the victims encourage , observes	The father that the victims encourage , observe	singular	1	7	The father that the victims encourage , observes the person .
The father that the victims encourage , discourages	The father that the victims encourage , discourage	singular	1	7	The father that the victims encourage , discourages the person .
The father that the victims encourage , confuses	The father that the victims encourage , confuse	singular	1	7	The father that the victims encourage , confuses the person .
The father that the victims observe , understands	The father that the victims observe , understand	singular	1	7	The father that the victims observe , understands the person .
The father that the victims observe , greets	The father that the victims observe , greet	singular	1	7	The father that the victims observe , greets the person .
The father that the victims observe , encourages	The father that the victims observe , encourage	singular	1	7	The father that the victims observe , encourages the person .
The father that the victims observe , discourages	The father that the victims observe , discourage	singular	1	7	The father that the victims observe , discourages the person .
The father that the victims observe , confuses	The father that the victims observe , confuse	singular	1	7	The father that the victims observe , confuses the person .
The father that the victims discourage , understands	The father that the victims discourage , understand	singular	1	7	The father that the victims discourage , understands the person .
The father that the victims discourage , greets	The father that the victims discourage , greet	singular	1	7	The father that the victims discourage , greets the person .
The father that the victims discourage , encourages	The father that the victims discourage , encourage	singular	1	7	The father that the victims discourage , encourages the person .
The father that the victims discourage , observes	The father that the victims discourage , observe	singular	1	7	The father that the victims discourage , observes the person .
The father that the victims discourage , confuses	The father that the victims discourage , confuse	singular	1	7	The father that the victims discourage , confuses the person .
The father that the victims confuse , understands	The father that the victims confuse , understand	singular	1	7	The father that the victims confuse , understands the person .
The father that the victims confuse , greets	The father that the victims confuse , greet	singular	1	7	The father that the victims confuse , greets the person .
The father that the victims confuse , encourages	The father that the victims confuse , encourage	singular	1	7	The father that the victims confuse , encourages the person .
The father that the victims confuse , observes	The father that the victims confuse , observe	singular	1	7	The father that the victims confuse , observes the person .
The father that the victims confuse , discourages	The father that the victims confuse , discourage	singular	1	7	The father that the victims confuse , discourages the person .
The father that the athletes understand , greets	The father that the athletes understand , greet	singular	1	7	The father that the athletes understand , greets the person .
The father that the athletes understand , encourages	The father that the athletes understand , encourage	singular	1	7	The father that the athletes understand , encourages the person .
The father that the athletes understand , observes	The father that the athletes understand , observe	singular	1	7	The father that the athletes understand , observes the person .
The father that the athletes understand , discourages	The father that the athletes understand , discourage	singular	1	7	The father that the athletes understand , discourages the person .
