agreement	disagreement	number	subject_index	verb_index	completed
The athlete screams and the girl observes	The athlete screams and the girl observe	singular	5	6	The athlete screams and the girl observes the person.
The athlete screams and the girl confuses	The athlete screams and the girl confuse	singular	5	6	The athlete screams and the girl confuses the person.
The athlete screams and the girl inspires	The athlete screams and the girl inspire	singular	5	6	The athlete screams and the girl inspires the person.
The athlete screams and the girl encourages	The athlete screams and the girl encourage	singular	5	6	The athlete screams and the girl encourages the person.
The athlete screams and the girl discourages	The athlete screams and the girl discourage	singular	5	6	The athlete screams and the girl discourages the person.
The athlete screams and the girl admires	The athlete screams and the girl admire	singular	5	6	The athlete screams and the girl admires the person.
The athlete screams and the boy observes	The athlete screams and the boy observe	singular	5	6	The athlete screams and the boy observes the person.
The athlete screams and the boy confuses	The athlete screams and the boy confuse	singular	5	6	The athlete screams and the boy confuses the person.
The athlete screams and the boy inspires	The athlete screams and the boy inspire	singular	5	6	The athlete screams and the boy inspires the person.
The athlete screams and the boy encourages	The athlete screams and the boy encourage	singular	5	6	The athlete screams and the boy encourages the person.
The athlete screams and the boy discourages	The athlete screams and the boy discourage	singular	5	6	The athlete screams and the boy discourages the person.
The athlete screams and the boy admires	The athlete screams and the boy admire	singular	5	6	The athlete screams and the boy admires the person.
The athlete screams and the father observes	The athlete screams and the father observe	singular	5	6	The athlete screams and the father observes the person.
The athlete screams and the father confuses	The athlete screams and the father confuse	singular	5	6	The athlete screams and the father confuses the person.
The athlete screams and the father inspires	The athlete screams and the father inspire	singular	5	6	The athlete screams and the father inspires the person.
The athlete screams and the father encourages	The athlete screams and the father encourage	singular	5	6	The athlete screams and the father encourages the person.
The athlete screams and the father discourages	The athlete screams and the father discourage	singular	5	6	The athlete screams and the father discourages the person.
The athlete screams and the father admires	The athlete screams and the father admire	singular	5	6	The athlete screams and the father admires the person.
The athlete screams and the man observes	The athlete screams and the man observe	singular	5	6	The athlete screams and the man observes the person.
The athlete screams and the man confuses	The athlete screams and the man confuse	singular	5	6	The athlete screams and the man confuses the person.
The athlete screams and the man inspires	The athlete screams and the man inspire	singular	5	6	The athlete screams and the man inspires the person.
The athlete screams and the man encourages	The athlete screams and the man encourage	singular	5	6	The athlete screams and the man encourages the person.
The athlete screams and the man discourages	The athlete screams and the man discourage	singular	5	6	The athlete screams and the man discourages the person.
The athlete screams and the man admires	The athlete screams and the man admire	singular	5	6	The athlete screams and the man admires the person.
The athlete screams and the woman observes	The athlete screams and the woman observe	singular	5	6	The athlete screams and the woman observes the person.
The athlete screams and the woman confuses	The athlete screams and the woman confuse	singular	5	6	The athlete screams and the woman confuses the person.
The athlete screams and the woman inspires	The athlete screams and the woman inspire	singular	5	6	The athlete screams and the woman inspires the person.
The athlete screams and the woman encourages	The athlete screams and the woman encourage	singular	5	6	The athlete screams and the woman encourages the person.
The athlete screams and the woman discourages	The athlete screams and the woman discourage	singular	5	6	The athlete screams and the woman discourages the person.
The athlete screams and the woman admires	The athlete screams and the woman admire	singular	5	6	The athlete screams and the woman admires the person.
The athlete screams and the farmer observes	The athlete screams and the farmer observe	singular	5	6	The athlete screams and the farmer observes the person.
The athlete screams and the farmer confuses	The athlete screams and the farmer confuse	singular	5	6	The athlete screams and the farmer confuses the person.
The athlete screams and the farmer inspires	The athlete screams and the farmer inspire	singular	5	6	The athlete screams and the farmer inspires the person.
The athlete screams and the farmer encourages	The athlete screams and the farmer encourage	singular	5	6	The athlete screams and the farmer encourages the person.
The athlete screams and the farmer discourages	The athlete screams and the farmer discourage	singular	5	6	The athlete screams and the farmer discourages the person.
The athlete screams and the farmer admires	The athlete screams and the farmer admire	singular	5	6	The athlete screams and the farmer admires the person.
The athlete screams and the girls observe	The athlete screams and the girls observes	plural	5	6	The athlete screams and the girls observe the person.
The athlete screams and the girls confuse	The athlete screams and the girls confuses	plural	5	6	The athlete screams and the girls confuse the person.
The athlete screams and the girls inspire	The athlete screams and the girls inspires	plural	5	6	The athlete screams and the girls inspire the person.
The athlete screams and the girls encourage	The athlete screams and the girls encourages	plural	5	6	The athlete screams and the girls encourage the person.
The athlete screams and the girls discourage	The athlete screams and the girls discourages	plural	5	6	The athlete screams and the girls discourage the person.
The athlete screams and the girls admire	The athlete screams and the girls admires	plural	5	6	The athlete screams and the girls admire the person.
The athlete screams and the boys observe	The athlete screams and the boys observes	plural	5	6	The athlete screams and the boys observe the person.
The athlete screams and the boys confuse	The athlete screams and the boys confuses	plural	5	6	The athlete screams and the boys confuse the person.
The athlete screams and the boys inspire	The athlete screams and the boys inspires	plural	5	6	The athlete screams and the boys inspire the person.
The athlete screams and the boys encourage	The athlete screams and the boys encourages	plural	5	6	The athlete screams and the boys encourage the person.
The athlete screams and the boys discourage	The athlete screams and the boys discourages	plural	5	6	The athlete screams and the boys discourage the person.
The athlete screams and the boys admire	The athlete screams and the boys admires	plural	5	6	The athlete screams and the boys admire the person.
The athlete screams and the fathers observe	The athlete screams and the fathers observes	plural	5	6	The athlete screams and the fathers observe the person.
The athlete screams and the fathers confuse	The athlete screams and the fathers confuses	plural	5	6	The athlete screams and the fathers confuse the person.
The athlete screams and the fathers inspire	The athlete screams and the fathers inspires	plural	5	6	The athlete screams and the fathers inspire the person.
The athlete screams and the fathers encourage	The athlete screams and the fathers encourages	plural	5	6	The athlete screams and the fathers encourage the person.
The athlete screams and the fathers discourage	The athlete screams and the fathers discourages	plural	5	6	The athlete screams and the fathers discourage the person.
The athlete screams and the fathers admire	The athlete screams and the fathers admires	plural	5	6	The athlete screams and the fathers admire the person.
The athlete screams and the men observe	The athlete screams and the men observes	plural	5	6	The athlete screams and the men observe the person.
The athlete screams and the men confuse	The athlete screams and the men confuses	plural	5	6	The athlete screams and the men confuse the person.
The athlete screams and the men inspire	The athlete screams and the men inspires	plural	5	6	The athlete screams and the men inspire the person.
The athlete screams and the men encourage	The athlete screams and the men encourages	plural	5	6	The athlete screams and the men encourage the person.
The athlete screams and the men discourage	The athlete screams and the men discourages	plural	5	6	The athlete screams and the men discourage the person.
The athlete screams and the men admire	The athlete screams and the men admires	plural	5	6	The athlete screams and the men admire the person.
The athlete screams and the women observe	The athlete screams and the women observes	plural	5	6	The athlete screams and the women observe the person.
