agreement	disagreement	number	subject_index	verb_index	completed
The father stimulates	The father stimulate	singular	1	2	The father stimulates the person .
The father remembers	The father remember	singular	1	2	The father remembers the person .
The father knows	The father know	singular	1	2	The father knows the person .
The father understands	The father understand	singular	1	2	The father understands the person .
The father observes	The father observe	singular	1	2	The father observes the person .
The father encourages	The father encourage	singular	1	2	The father encourages the person .
The father avoids	The father avoid	singular	1	2	The father avoids the person .
The father discourages	The father discourage	singular	1	2	The father discourages the person .
The father admires	The father admire	singular	1	2	The father admires the person .
The father greets	The father greet	singular	1	2	The father greets the person .
The father inspires	The father inspire	singular	1	2	The father inspires the person .
The father confuses	The father confuse	singular	1	2	The father confuses the person .
The father criticizes	The father criticize	singular	1	2	The father criticizes the person .
The farmer stimulates	The farmer stimulate	singular	1	2	The farmer stimulates the person .
The farmer remembers	The farmer remember	singular	1	2	The farmer remembers the person .
The farmer knows	The farmer know	singular	1	2	The farmer knows the person .
The farmer understands	The farmer understand	singular	1	2	The farmer understands the person .
The farmer observes	The farmer observe	singular	1	2	The farmer observes the person .
The farmer encourages	The farmer encourage	singular	1	2	The farmer encourages the person .
The farmer avoids	The farmer avoid	singular	1	2	The farmer avoids the person .
The farmer discourages	The farmer discourage	singular	1	2	The farmer discourages the person .
The farmer admires	The farmer admire	singular	1	2	The farmer admires the person .
The farmer greets	The farmer greet	singular	1	2	The farmer greets the person .
The farmer inspires	The farmer inspire	singular	1	2	The farmer inspires the person .
The farmer confuses	The farmer confuse	singular	1	2	The farmer confuses the person .
The farmer criticizes	The farmer criticize	singular	1	2	The farmer criticizes the person .
The doctor stimulates	The doctor stimulate	singular	1	2	The doctor stimulates the person .
The doctor remembers	The doctor remember	singular	1	2	The doctor remembers the person .
The doctor knows	The doctor know	singular	1	2	The doctor knows the person .
The doctor understands	The doctor understand	singular	1	2	The doctor understands the person .
The doctor observes	The doctor observe	singular	1	2	The doctor observes the person .
The doctor encourages	The doctor encourage	singular	1	2	The doctor encourages the person .
The doctor avoids	The doctor avoid	singular	1	2	The doctor avoids the person .
The doctor discourages	The doctor discourage	singular	1	2	The doctor discourages the person .
The doctor admires	The doctor admire	singular	1	2	The doctor admires the person .
The doctor greets	The doctor greet	singular	1	2	The doctor greets the person .
The doctor inspires	The doctor inspire	singular	1	2	The doctor inspires the person .
The doctor confuses	The doctor confuse	singular	1	2	The doctor confuses the person .
The doctor criticizes	The doctor criticize	singular	1	2	The doctor criticizes the person .
The mother stimulates	The mother stimulate	singular	1	2	The mother stimulates the person .
The mother remembers	The mother remember	singular	1	2	The mother remembers the person .
The mother knows	The mother know	singular	1	2	The mother knows the person .
The mother understands	The mother understand	singular	1	2	The mother understands the person .
The mother observes	The mother observe	singular	1	2	The mother observes the person .
The mother encourages	The mother encourage	singular	1	2	The mother encourages the person .
The mother avoids	The mother avoid	singular	1	2	The mother avoids the person .
The mother discourages	The mother discourage	singular	1	2	The mother discourages the person .
The mother admires	The mother admire	singular	1	2	The mother admires the person .
The mother greets	The mother greet	singular	1	2	The mother greets the person .
The mother inspires	The mother inspire	singular	1	2	The mother inspires the person .
The mother confuses	The mother confuse	singular	1	2	The mother confuses the person .
The mother criticizes	The mother criticize	singular	1	2	The mother criticizes the person .
The man stimulates	The man stimulate	singular	1	2	The man stimulates the person .
The man remembers	The man remember	singular	1	2	The man remembers the person .
The man knows	The man know	singular	1	2	The man knows the person .
The man understands	The man understand	singular	1	2	The man understands the person .
The man observes	The man observe	singular	1	2	The man observes the person .
The man encourages	The man encourage	singular	1	2	The man encourages the person .
The man avoids	The man avoid	singular	1	2	The man avoids the person .
The man discourages	The man discourage	singular	1	2	The man discourages the person .
The man admires	The man admire	singular	1	2	The man admires the person .
The man greets	The man greet	singular	1	2	The man greets the person .
The man inspires	The man inspire	singular	1	2	The man inspires the person .
The man confuses	The man confuse	singular	1	2	The man confuses the person .
The man criticizes	The man criticize	singular	1	2	The man criticizes the person .
The girl stimulates	The girl stimulate	singular	1	2	The girl stimulates the person .
The girl remembers	The girl remember	singular	1	2	The girl remembers the person .
The girl knows	The girl know	singular	1	2	The girl knows the person .
The girl understands	The girl understand	singular	1	2	The girl understands the person .
The girl observes	The girl observe	singular	1	2	The girl observes the person .
The girl encourages	The girl encourage	singular	1	2	The girl encourages the person .
The girl avoids	The girl avoid	singular	1	2	The girl avoids the person .
The girl discourages	The girl discourage	singular	1	2	The girl discourages the person .
The girl admires	The girl admire	singular	1	2	The girl admires the person .
The girl greets	The girl greet	singular	1	2	The girl greets the person .
The girl inspires	The girl inspire	singular	1	2	The girl inspires the person .
The girl confuses	The girl confuse	singular	1	2	The girl confuses the person .
The girl criticizes	The girl criticize	singular	1	2	The girl criticizes the person .
The teacher stimulates	The teacher stimulate	singular	1	2	The teacher stimulates the person .
The teacher remembers	The teacher remember	singular	1	2	The teacher remembers the person .
The teacher knows	The teacher know	singular	1	2	The teacher knows the person .
The teacher understands	The teacher understand	singular	1	2	The teacher understands the person .
The teacher observes	The teacher observe	singular	1	2	The teacher observes the person .
The teacher encourages	The teacher encourage	singular	1	2	The teacher encourages the person .
The teacher avoids	The teacher avoid	singular	1	2	The teacher avoids the person .
The teacher discourages	The teacher discourage	singular	1	2	The teacher discourages the person .
The teacher admires	The teacher admire	singular	1	2	The teacher admires the person .
The teacher greets	The teacher greet	singular	1	2	The teacher greets the person .
The teacher inspires	The teacher inspire	singular	1	2	The teacher inspires the person .
The teacher confuses	The teacher confuse	singular	1	2	The teacher confuses the person .
The teacher criticizes	The teacher criticize	singular	1	2	The teacher criticizes the person .
The lawyer stimulates	The lawyer stimulate	singular	1	2	The lawyer stimulates the person .
The lawyer remembers	The lawyer remember	singular	1	2	The lawyer remembers the person .
The lawyer knows	The lawyer know	singular	1	2	The lawyer knows the person .
The lawyer understands	The lawyer understand	singular	1	2	The lawyer understands the person .
The lawyer observes	The lawyer observe	singular	1	2	The lawyer observes the person .
The lawyer encourages	The lawyer encourage	singular	1	2	The lawyer encourages the person .
The lawyer avoids	The lawyer avoid	singular	1	2	The lawyer avoids the person .
The lawyer discourages	The lawyer discourage	singular	1	2	The lawyer discourages the person .
The lawyer admires	The lawyer admire	singular	1	2	The lawyer admires the person .
The lawyer greets	The lawyer greet	singular	1	2	The lawyer greets the person .
The lawyer inspires	The lawyer inspire	singular	1	2	The lawyer inspires the person .
The lawyer confuses	The lawyer confuse	singular	1	2	The lawyer confuses the person .
The lawyer criticizes	The lawyer criticize	singular	1	2	The lawyer criticizes the person .
The woman stimulates	The woman stimulate	singular	1	2	The woman stimulates the person .
The woman remembers	The woman remember	singular	1	2	The woman remembers the person .
The woman knows	The woman know	singular	1	2	The woman knows the person .
The woman understands	The woman understand	singular	1	2	The woman understands the person .
The woman observes	The woman observe	singular	1	2	The woman observes the person .
The woman encourages	The woman encourage	singular	1	2	The woman encourages the person .
The woman avoids	The woman avoid	singular	1	2	The woman avoids the person .
The woman discourages	The woman discourage	singular	1	2	The woman discourages the person .
The woman admires	The woman admire	singular	1	2	The woman admires the person .
The woman greets	The woman greet	singular	1	2	The woman greets the person .
The woman inspires	The woman inspire	singular	1	2	The woman inspires the person .
The woman confuses	The woman confuse	singular	1	2	The woman confuses the person .
The woman criticizes	The woman criticize	singular	1	2	The woman criticizes the person .
The victim stimulates	The victim stimulate	singular	1	2	The victim stimulates the person .
The victim remembers	The victim remember	singular	1	2	The victim remembers the person .
The victim knows	The victim know	singular	1	2	The victim knows the person .
The victim understands	The victim understand	singular	1	2	The victim understands the person .
The victim observes	The victim observe	singular	1	2	The victim observes the person .
The victim encourages	The victim encourage	singular	1	2	The victim encourages the person .
The victim avoids	The victim avoid	singular	1	2	The victim avoids the person .
The victim discourages	The victim discourage	singular	1	2	The victim discourages the person .
The victim admires	The victim admire	singular	1	2	The victim admires the person .
The victim greets	The victim greet	singular	1	2	The victim greets the person .
The victim inspires	The victim inspire	singular	1	2	The victim inspires the person .
The victim confuses	The victim confuse	singular	1	2	The victim confuses the person .
The victim criticizes	The victim criticize	singular	1	2	The victim criticizes the person .
The child stimulates	The child stimulate	singular	1	2	The child stimulates the person .
The child remembers	The child remember	singular	1	2	The child remembers the person .
The child knows	The child know	singular	1	2	The child knows the person .
The child understands	The child understand	singular	1	2	The child understands the person .
The child observes	The child observe	singular	1	2	The child observes the person .
The child encourages	The child encourage	singular	1	2	The child encourages the person .
The child avoids	The child avoid	singular	1	2	The child avoids the person .
The child discourages	The child discourage	singular	1	2	The child discourages the person .
The child admires	The child admire	singular	1	2	The child admires the person .
The child greets	The child greet	singular	1	2	The child greets the person .
The child inspires	The child inspire	singular	1	2	The child inspires the person .
The child confuses	The child confuse	singular	1	2	The child confuses the person .
The child criticizes	The child criticize	singular	1	2	The child criticizes the person .
The athlete stimulates	The athlete stimulate	singular	1	2	The athlete stimulates the person .
The athlete remembers	The athlete remember	singular	1	2	The athlete remembers the person .
The athlete knows	The athlete know	singular	1	2	The athlete knows the person .
The athlete understands	The athlete understand	singular	1	2	The athlete understands the person .
The athlete observes	The athlete observe	singular	1	2	The athlete observes the person .
The athlete encourages	The athlete encourage	singular	1	2	The athlete encourages the person .
The athlete avoids	The athlete avoid	singular	1	2	The athlete avoids the person .
The athlete discourages	The athlete discourage	singular	1	2	The athlete discourages the person .
The athlete admires	The athlete admire	singular	1	2	The athlete admires the person .
The athlete greets	The athlete greet	singular	1	2	The athlete greets the person .
The athlete inspires	The athlete inspire	singular	1	2	The athlete inspires the person .
The athlete confuses	The athlete confuse	singular	1	2	The athlete confuses the person .
The athlete criticizes	The athlete criticize	singular	1	2	The athlete criticizes the person .
The poet stimulates	The poet stimulate	singular	1	2	The poet stimulates the person .
The poet remembers	The poet remember	singular	1	2	The poet remembers the person .
The poet knows	The poet know	singular	1	2	The poet knows the person .
The poet understands	The poet understand	singular	1	2	The poet understands the person .
