agreement	disagreement	number	subject_index	verb_index	completed
The doctor sees that the father cries	The doctor sees that the father cry	singular	5	6	The doctor sees that the father cries .
The doctor sees that the father listens	The doctor sees that the father listen	singular	5	6	The doctor sees that the father listens .
The doctor sees that the father walks	The doctor sees that the father walk	singular	5	6	The doctor sees that the father walks .
The doctor sees that the father runs	The doctor sees that the father run	singular	5	6	The doctor sees that the father runs .
The doctor sees that the father sleeps	The doctor sees that the father sleep	singular	5	6	The doctor sees that the father sleeps .
The doctor sees that the father screams	The doctor sees that the father scream	singular	5	6	The doctor sees that the father screams .
The doctor sees that the mother cries	The doctor sees that the mother cry	singular	5	6	The doctor sees that the mother cries .
The doctor sees that the mother listens	The doctor sees that the mother listen	singular	5	6	The doctor sees that the mother listens .
The doctor sees that the mother walks	The doctor sees that the mother walk	singular	5	6	The doctor sees that the mother walks .
The doctor sees that the mother runs	The doctor sees that the mother run	singular	5	6	The doctor sees that the mother runs .
The doctor sees that the mother sleeps	The doctor sees that the mother sleep	singular	5	6	The doctor sees that the mother sleeps .
The doctor sees that the mother screams	The doctor sees that the mother scream	singular	5	6	The doctor sees that the mother screams .
The doctor sees that the child cries	The doctor sees that the child cry	singular	5	6	The doctor sees that the child cries .
The doctor sees that the child listens	The doctor sees that the child listen	singular	5	6	The doctor sees that the child listens .
The doctor sees that the child walks	The doctor sees that the child walk	singular	5	6	The doctor sees that the child walks .
The doctor sees that the child runs	The doctor sees that the child run	singular	5	6	The doctor sees that the child runs .
The doctor sees that the child sleeps	The doctor sees that the child sleep	singular	5	6	The doctor sees that the child sleeps .
The doctor sees that the child screams	The doctor sees that the child scream	singular	5	6	The doctor sees that the child screams .
The doctor sees that the athlete cries	The doctor sees that the athlete cry	singular	5	6	The doctor sees that the athlete cries .
The doctor sees that the athlete listens	The doctor sees that the athlete listen	singular	5	6	The doctor sees that the athlete listens .
The doctor sees that the athlete walks	The doctor sees that the athlete walk	singular	5	6	The doctor sees that the athlete walks .
The doctor sees that the athlete runs	The doctor sees that the athlete run	singular	5	6	The doctor sees that the athlete runs .
The doctor sees that the athlete sleeps	The doctor sees that the athlete sleep	singular	5	6	The doctor sees that the athlete sleeps .
The doctor sees that the athlete screams	The doctor sees that the athlete scream	singular	5	6	The doctor sees that the athlete screams .
The doctor sees that the victim cries	The doctor sees that the victim cry	singular	5	6	The doctor sees that the victim cries .
The doctor sees that the victim listens	The doctor sees that the victim listen	singular	5	6	The doctor sees that the victim listens .
