agreement	disagreement	number	subject_index	verb_index	completed
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon openlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon voorzichtig.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon waarschijnlijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon publiekelijk.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon zeker.
De dichter bewondert	De dichter bewonderen	singular	1	2	De dichter bewondert de persoon bewust.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon openlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon voorzichtig.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon waarschijnlijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon publiekelijk.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon zeker.
De dichter vermijdt	De dichter vermijden	singular	1	2	De dichter vermijdt de persoon bewust.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon openlijk.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon voorzichtig.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon waarschijnlijk.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon publiekelijk.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon zeker.
De dichter inspireert	De dichter inspireren	singular	1	2	De dichter inspireert de persoon bewust.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon openlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon voorzichtig.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon waarschijnlijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon publiekelijk.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon zeker.
De dichter kent	De dichter kennen	singular	1	2	De dichter kent de persoon bewust.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon openlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon voorzichtig.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon waarschijnlijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon publiekelijk.
De dichter verwart	De dichter verwarren	singular	1	2	De dichter verwart de persoon zeker.
