agreement	disagreement	number	subject_index	verb_index	completed
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad zeker.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad zeker.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad zeker.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad zeker.
Het kind onthoudt	Het kind onthouden	singular	1	2	Het kind onthoudt de persoon inderdaad zeker.
Het kind kent	Het kind kennen	singular	1	2	Het kind kent de persoon inderdaad zeker.
Het kind begrijpt	Het kind begrijpen	singular	1	2	Het kind begrijpt de persoon inderdaad zeker.
Het kind ontmoedigt	Het kind ontmoedigen	singular	1	2	Het kind ontmoedigt de persoon inderdaad zeker.
Het kind vermijdt	Het kind vermijden	singular	1	2	Het kind vermijdt de persoon inderdaad zeker.
Het kind bekritiseert	Het kind bekritiseren	singular	1	2	Het kind bekritiseert de persoon inderdaad zeker.
Het kind observeert	Het kind observeren	singular	1	2	Het kind observeert de persoon inderdaad zeker.
Het kind groet	Het kind groeten	singular	1	2	Het kind groet de persoon inderdaad zeker.
Het kind bewondert	Het kind bewonderen	singular	1	2	Het kind bewondert de persoon inderdaad zeker.
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad voorzichtig.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad voorzichtig.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad voorzichtig.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad voorzichtig.
Het kind onthoudt	Het kind onthouden	singular	1	2	Het kind onthoudt de persoon inderdaad voorzichtig.
Het kind kent	Het kind kennen	singular	1	2	Het kind kent de persoon inderdaad voorzichtig.
Het kind begrijpt	Het kind begrijpen	singular	1	2	Het kind begrijpt de persoon inderdaad voorzichtig.
Het kind ontmoedigt	Het kind ontmoedigen	singular	1	2	Het kind ontmoedigt de persoon inderdaad voorzichtig.
Het kind vermijdt	Het kind vermijden	singular	1	2	Het kind vermijdt de persoon inderdaad voorzichtig.
Het kind bekritiseert	Het kind bekritiseren	singular	1	2	Het kind bekritiseert de persoon inderdaad voorzichtig.
Het kind observeert	Het kind observeren	singular	1	2	Het kind observeert de persoon inderdaad voorzichtig.
Het kind groet	Het kind groeten	singular	1	2	Het kind groet de persoon inderdaad voorzichtig.
Het kind bewondert	Het kind bewonderen	singular	1	2	Het kind bewondert de persoon inderdaad voorzichtig.
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad publiekelijk.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad publiekelijk.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad publiekelijk.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad publiekelijk.
Het kind onthoudt	Het kind onthouden	singular	1	2	Het kind onthoudt de persoon inderdaad publiekelijk.
Het kind kent	Het kind kennen	singular	1	2	Het kind kent de persoon inderdaad publiekelijk.
Het kind begrijpt	Het kind begrijpen	singular	1	2	Het kind begrijpt de persoon inderdaad publiekelijk.
Het kind ontmoedigt	Het kind ontmoedigen	singular	1	2	Het kind ontmoedigt de persoon inderdaad publiekelijk.
Het kind vermijdt	Het kind vermijden	singular	1	2	Het kind vermijdt de persoon inderdaad publiekelijk.
Het kind bekritiseert	Het kind bekritiseren	singular	1	2	Het kind bekritiseert de persoon inderdaad publiekelijk.
Het kind observeert	Het kind observeren	singular	1	2	Het kind observeert de persoon inderdaad publiekelijk.
Het kind groet	Het kind groeten	singular	1	2	Het kind groet de persoon inderdaad publiekelijk.
Het kind bewondert	Het kind bewonderen	singular	1	2	Het kind bewondert de persoon inderdaad publiekelijk.
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad waarschijnlijk.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad waarschijnlijk.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad waarschijnlijk.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad waarschijnlijk.
Het kind onthoudt	Het kind onthouden	singular	1	2	Het kind onthoudt de persoon inderdaad waarschijnlijk.
Het kind kent	Het kind kennen	singular	1	2	Het kind kent de persoon inderdaad waarschijnlijk.
Het kind begrijpt	Het kind begrijpen	singular	1	2	Het kind begrijpt de persoon inderdaad waarschijnlijk.
Het kind ontmoedigt	Het kind ontmoedigen	singular	1	2	Het kind ontmoedigt de persoon inderdaad waarschijnlijk.
Het kind vermijdt	Het kind vermijden	singular	1	2	Het kind vermijdt de persoon inderdaad waarschijnlijk.
Het kind bekritiseert	Het kind bekritiseren	singular	1	2	Het kind bekritiseert de persoon inderdaad waarschijnlijk.
Het kind observeert	Het kind observeren	singular	1	2	Het kind observeert de persoon inderdaad waarschijnlijk.
Het kind groet	Het kind groeten	singular	1	2	Het kind groet de persoon inderdaad waarschijnlijk.
Het kind bewondert	Het kind bewonderen	singular	1	2	Het kind bewondert de persoon inderdaad waarschijnlijk.
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad bewust.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad bewust.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad bewust.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad bewust.
Het kind onthoudt	Het kind onthouden	singular	1	2	Het kind onthoudt de persoon inderdaad bewust.
Het kind kent	Het kind kennen	singular	1	2	Het kind kent de persoon inderdaad bewust.
Het kind begrijpt	Het kind begrijpen	singular	1	2	Het kind begrijpt de persoon inderdaad bewust.
Het kind ontmoedigt	Het kind ontmoedigen	singular	1	2	Het kind ontmoedigt de persoon inderdaad bewust.
Het kind vermijdt	Het kind vermijden	singular	1	2	Het kind vermijdt de persoon inderdaad bewust.
Het kind bekritiseert	Het kind bekritiseren	singular	1	2	Het kind bekritiseert de persoon inderdaad bewust.
Het kind observeert	Het kind observeren	singular	1	2	Het kind observeert de persoon inderdaad bewust.
Het kind groet	Het kind groeten	singular	1	2	Het kind groet de persoon inderdaad bewust.
Het kind bewondert	Het kind bewonderen	singular	1	2	Het kind bewondert de persoon inderdaad bewust.
Het kind stimuleert	Het kind stimuleren	singular	1	2	Het kind stimuleert de persoon inderdaad openlijk.
Het kind inspireert	Het kind inspireren	singular	1	2	Het kind inspireert de persoon inderdaad openlijk.
Het kind bemoedigt	Het kind bemoedigen	singular	1	2	Het kind bemoedigt de persoon inderdaad openlijk.
Het kind verwart	Het kind verwarren	singular	1	2	Het kind verwart de persoon inderdaad openlijk.
