agreement	disagreement	number	subject_index	verb_index	completed
Het meisje naast Barbara bewondert	Het meisje naast Barbara bewonderen	singular	1	4	Het meisje naast Barbara bewondert de persoon.
Het meisje naast Barbara stimuleert	Het meisje naast Barbara stimuleren	singular	1	4	Het meisje naast Barbara stimuleert de persoon.
Het meisje naast Barbara ontmoedigt	Het meisje naast Barbara ontmoedigen	singular	1	4	Het meisje naast Barbara ontmoedigt de persoon.
Het meisje naast Barbara begrijpt	Het meisje naast Barbara begrijpen	singular	1	4	Het meisje naast Barbara begrijpt de persoon.
Het meisje naast Barbara verwart	Het meisje naast Barbara verwarren	singular	1	4	Het meisje naast Barbara verwart de persoon.
Het meisje naast Barbara bemoedigt	Het meisje naast Barbara bemoedigen	singular	1	4	Het meisje naast Barbara bemoedigt de persoon.
Het meisje naast Barbara bekritiseert	Het meisje naast Barbara bekritiseren	singular	1	4	Het meisje naast Barbara bekritiseert de persoon.
Het meisje naast Barbara inspireert	Het meisje naast Barbara inspireren	singular	1	4	Het meisje naast Barbara inspireert de persoon.
Het meisje naast Barbara vermijdt	Het meisje naast Barbara vermijden	singular	1	4	Het meisje naast Barbara vermijdt de persoon.
Het meisje naast Barbara observeert	Het meisje naast Barbara observeren	singular	1	4	Het meisje naast Barbara observeert de persoon.
Het meisje naast Barbara groet	Het meisje naast Barbara groeten	singular	1	4	Het meisje naast Barbara groet de persoon.
Het meisje naast Barbara onthoudt	Het meisje naast Barbara onthouden	singular	1	4	Het meisje naast Barbara onthoudt de persoon.
Het meisje naast Barbara kent	Het meisje naast Barbara kennen	singular	1	4	Het meisje naast Barbara kent de persoon.
Het meisje naast Pat bewondert	Het meisje naast Pat bewonderen	singular	1	4	Het meisje naast Pat bewondert de persoon.
Het meisje naast Pat stimuleert	Het meisje naast Pat stimuleren	singular	1	4	Het meisje naast Pat stimuleert de persoon.
Het meisje naast Pat ontmoedigt	Het meisje naast Pat ontmoedigen	singular	1	4	Het meisje naast Pat ontmoedigt de persoon.
Het meisje naast Pat begrijpt	Het meisje naast Pat begrijpen	singular	1	4	Het meisje naast Pat begrijpt de persoon.
Het meisje naast Pat verwart	Het meisje naast Pat verwarren	singular	1	4	Het meisje naast Pat verwart de persoon.
Het meisje naast Pat bemoedigt	Het meisje naast Pat bemoedigen	singular	1	4	Het meisje naast Pat bemoedigt de persoon.
Het meisje naast Pat bekritiseert	Het meisje naast Pat bekritiseren	singular	1	4	Het meisje naast Pat bekritiseert de persoon.
Het meisje naast Pat inspireert	Het meisje naast Pat inspireren	singular	1	4	Het meisje naast Pat inspireert de persoon.
Het meisje naast Pat vermijdt	Het meisje naast Pat vermijden	singular	1	4	Het meisje naast Pat vermijdt de persoon.
Het meisje naast Pat observeert	Het meisje naast Pat observeren	singular	1	4	Het meisje naast Pat observeert de persoon.
Het meisje naast Pat groet	Het meisje naast Pat groeten	singular	1	4	Het meisje naast Pat groet de persoon.
Het meisje naast Pat onthoudt	Het meisje naast Pat onthouden	singular	1	4	Het meisje naast Pat onthoudt de persoon.
Het meisje naast Pat kent	Het meisje naast Pat kennen	singular	1	4	Het meisje naast Pat kent de persoon.
Het meisje naast Bill bewondert	Het meisje naast Bill bewonderen	singular	1	4	Het meisje naast Bill bewondert de persoon.
Het meisje naast Bill stimuleert	Het meisje naast Bill stimuleren	singular	1	4	Het meisje naast Bill stimuleert de persoon.
Het meisje naast Bill ontmoedigt	Het meisje naast Bill ontmoedigen	singular	1	4	Het meisje naast Bill ontmoedigt de persoon.
Het meisje naast Bill begrijpt	Het meisje naast Bill begrijpen	singular	1	4	Het meisje naast Bill begrijpt de persoon.
Het meisje naast Bill verwart	Het meisje naast Bill verwarren	singular	1	4	Het meisje naast Bill verwart de persoon.
Het meisje naast Bill bemoedigt	Het meisje naast Bill bemoedigen	singular	1	4	Het meisje naast Bill bemoedigt de persoon.
Het meisje naast Bill bekritiseert	Het meisje naast Bill bekritiseren	singular	1	4	Het meisje naast Bill bekritiseert de persoon.
Het meisje naast Bill inspireert	Het meisje naast Bill inspireren	singular	1	4	Het meisje naast Bill inspireert de persoon.
Het meisje naast Bill vermijdt	Het meisje naast Bill vermijden	singular	1	4	Het meisje naast Bill vermijdt de persoon.
Het meisje naast Bill observeert	Het meisje naast Bill observeren	singular	1	4	Het meisje naast Bill observeert de persoon.
Het meisje naast Bill groet	Het meisje naast Bill groeten	singular	1	4	Het meisje naast Bill groet de persoon.
Het meisje naast Bill onthoudt	Het meisje naast Bill onthouden	singular	1	4	Het meisje naast Bill onthoudt de persoon.
Het meisje naast Bill kent	Het meisje naast Bill kennen	singular	1	4	Het meisje naast Bill kent de persoon.
Het meisje naast Bob bewondert	Het meisje naast Bob bewonderen	singular	1	4	Het meisje naast Bob bewondert de persoon.
Het meisje naast Bob stimuleert	Het meisje naast Bob stimuleren	singular	1	4	Het meisje naast Bob stimuleert de persoon.
Het meisje naast Bob ontmoedigt	Het meisje naast Bob ontmoedigen	singular	1	4	Het meisje naast Bob ontmoedigt de persoon.
Het meisje naast Bob begrijpt	Het meisje naast Bob begrijpen	singular	1	4	Het meisje naast Bob begrijpt de persoon.
Het meisje naast Bob verwart	Het meisje naast Bob verwarren	singular	1	4	Het meisje naast Bob verwart de persoon.
Het meisje naast Bob bemoedigt	Het meisje naast Bob bemoedigen	singular	1	4	Het meisje naast Bob bemoedigt de persoon.
Het meisje naast Bob bekritiseert	Het meisje naast Bob bekritiseren	singular	1	4	Het meisje naast Bob bekritiseert de persoon.
Het meisje naast Bob inspireert	Het meisje naast Bob inspireren	singular	1	4	Het meisje naast Bob inspireert de persoon.
Het meisje naast Bob vermijdt	Het meisje naast Bob vermijden	singular	1	4	Het meisje naast Bob vermijdt de persoon.
Het meisje naast Bob observeert	Het meisje naast Bob observeren	singular	1	4	Het meisje naast Bob observeert de persoon.
Het meisje naast Bob groet	Het meisje naast Bob groeten	singular	1	4	Het meisje naast Bob groet de persoon.
Het meisje naast Bob onthoudt	Het meisje naast Bob onthouden	singular	1	4	Het meisje naast Bob onthoudt de persoon.
Het meisje naast Bob kent	Het meisje naast Bob kennen	singular	1	4	Het meisje naast Bob kent de persoon.
Het meisje naast Sue bewondert	Het meisje naast Sue bewonderen	singular	1	4	Het meisje naast Sue bewondert de persoon.
Het meisje naast Sue stimuleert	Het meisje naast Sue stimuleren	singular	1	4	Het meisje naast Sue stimuleert de persoon.
Het meisje naast Sue ontmoedigt	Het meisje naast Sue ontmoedigen	singular	1	4	Het meisje naast Sue ontmoedigt de persoon.
Het meisje naast Sue begrijpt	Het meisje naast Sue begrijpen	singular	1	4	Het meisje naast Sue begrijpt de persoon.
Het meisje naast Sue verwart	Het meisje naast Sue verwarren	singular	1	4	Het meisje naast Sue verwart de persoon.
Het meisje naast Sue bemoedigt	Het meisje naast Sue bemoedigen	singular	1	4	Het meisje naast Sue bemoedigt de persoon.
Het meisje naast Sue bekritiseert	Het meisje naast Sue bekritiseren	singular	1	4	Het meisje naast Sue bekritiseert de persoon.
Het meisje naast Sue inspireert	Het meisje naast Sue inspireren	singular	1	4	Het meisje naast Sue inspireert de persoon.
Het meisje naast Sue vermijdt	Het meisje naast Sue vermijden	singular	1	4	Het meisje naast Sue vermijdt de persoon.
Het meisje naast Sue observeert	Het meisje naast Sue observeren	singular	1	4	Het meisje naast Sue observeert de persoon.
Het meisje naast Sue groet	Het meisje naast Sue groeten	singular	1	4	Het meisje naast Sue groet de persoon.
Het meisje naast Sue onthoudt	Het meisje naast Sue onthouden	singular	1	4	Het meisje naast Sue onthoudt de persoon.
Het meisje naast Sue kent	Het meisje naast Sue kennen	singular	1	4	Het meisje naast Sue kent de persoon.
Het meisje naast Mary bewondert	Het meisje naast Mary bewonderen	singular	1	4	Het meisje naast Mary bewondert de persoon.
Het meisje naast Mary stimuleert	Het meisje naast Mary stimuleren	singular	1	4	Het meisje naast Mary stimuleert de persoon.
Het meisje naast Mary ontmoedigt	Het meisje naast Mary ontmoedigen	singular	1	4	Het meisje naast Mary ontmoedigt de persoon.
Het meisje naast Mary begrijpt	Het meisje naast Mary begrijpen	singular	1	4	Het meisje naast Mary begrijpt de persoon.
Het meisje naast Mary verwart	Het meisje naast Mary verwarren	singular	1	4	Het meisje naast Mary verwart de persoon.
Het meisje naast Mary bemoedigt	Het meisje naast Mary bemoedigen	singular	1	4	Het meisje naast Mary bemoedigt de persoon.
Het meisje naast Mary bekritiseert	Het meisje naast Mary bekritiseren	singular	1	4	Het meisje naast Mary bekritiseert de persoon.
Het meisje naast Mary inspireert	Het meisje naast Mary inspireren	singular	1	4	Het meisje naast Mary inspireert de persoon.
Het meisje naast Mary vermijdt	Het meisje naast Mary vermijden	singular	1	4	Het meisje naast Mary vermijdt de persoon.
Het meisje naast Mary observeert	Het meisje naast Mary observeren	singular	1	4	Het meisje naast Mary observeert de persoon.
Het meisje naast Mary groet	Het meisje naast Mary groeten	singular	1	4	Het meisje naast Mary groet de persoon.
Het meisje naast Mary onthoudt	Het meisje naast Mary onthouden	singular	1	4	Het meisje naast Mary onthoudt de persoon.
Het meisje naast Mary kent	Het meisje naast Mary kennen	singular	1	4	Het meisje naast Mary kent de persoon.
Het meisje achter Barbara bewondert	Het meisje achter Barbara bewonderen	singular	1	4	Het meisje achter Barbara bewondert de persoon.
Het meisje achter Barbara stimuleert	Het meisje achter Barbara stimuleren	singular	1	4	Het meisje achter Barbara stimuleert de persoon.
Het meisje achter Barbara ontmoedigt	Het meisje achter Barbara ontmoedigen	singular	1	4	Het meisje achter Barbara ontmoedigt de persoon.
Het meisje achter Barbara begrijpt	Het meisje achter Barbara begrijpen	singular	1	4	Het meisje achter Barbara begrijpt de persoon.
Het meisje achter Barbara verwart	Het meisje achter Barbara verwarren	singular	1	4	Het meisje achter Barbara verwart de persoon.
Het meisje achter Barbara bemoedigt	Het meisje achter Barbara bemoedigen	singular	1	4	Het meisje achter Barbara bemoedigt de persoon.
Het meisje achter Barbara bekritiseert	Het meisje achter Barbara bekritiseren	singular	1	4	Het meisje achter Barbara bekritiseert de persoon.
Het meisje achter Barbara inspireert	Het meisje achter Barbara inspireren	singular	1	4	Het meisje achter Barbara inspireert de persoon.
Het meisje achter Barbara vermijdt	Het meisje achter Barbara vermijden	singular	1	4	Het meisje achter Barbara vermijdt de persoon.
Het meisje achter Barbara observeert	Het meisje achter Barbara observeren	singular	1	4	Het meisje achter Barbara observeert de persoon.
Het meisje achter Barbara groet	Het meisje achter Barbara groeten	singular	1	4	Het meisje achter Barbara groet de persoon.
Het meisje achter Barbara onthoudt	Het meisje achter Barbara onthouden	singular	1	4	Het meisje achter Barbara onthoudt de persoon.
Het meisje achter Barbara kent	Het meisje achter Barbara kennen	singular	1	4	Het meisje achter Barbara kent de persoon.
Het meisje achter Pat bewondert	Het meisje achter Pat bewonderen	singular	1	4	Het meisje achter Pat bewondert de persoon.
Het meisje achter Pat stimuleert	Het meisje achter Pat stimuleren	singular	1	4	Het meisje achter Pat stimuleert de persoon.
Het meisje achter Pat ontmoedigt	Het meisje achter Pat ontmoedigen	singular	1	4	Het meisje achter Pat ontmoedigt de persoon.
Het meisje achter Pat begrijpt	Het meisje achter Pat begrijpen	singular	1	4	Het meisje achter Pat begrijpt de persoon.
Het meisje achter Pat verwart	Het meisje achter Pat verwarren	singular	1	4	Het meisje achter Pat verwart de persoon.
Het meisje achter Pat bemoedigt	Het meisje achter Pat bemoedigen	singular	1	4	Het meisje achter Pat bemoedigt de persoon.
Het meisje achter Pat bekritiseert	Het meisje achter Pat bekritiseren	singular	1	4	Het meisje achter Pat bekritiseert de persoon.
Het meisje achter Pat inspireert	Het meisje achter Pat inspireren	singular	1	4	Het meisje achter Pat inspireert de persoon.
Het meisje achter Pat vermijdt	Het meisje achter Pat vermijden	singular	1	4	Het meisje achter Pat vermijdt de persoon.
Het meisje achter Pat observeert	Het meisje achter Pat observeren	singular	1	4	Het meisje achter Pat observeert de persoon.
Het meisje achter Pat groet	Het meisje achter Pat groeten	singular	1	4	Het meisje achter Pat groet de persoon.
Het meisje achter Pat onthoudt	Het meisje achter Pat onthouden	singular	1	4	Het meisje achter Pat onthoudt de persoon.
Het meisje achter Pat kent	Het meisje achter Pat kennen	singular	1	4	Het meisje achter Pat kent de persoon.
Het meisje achter Bill bewondert	Het meisje achter Bill bewonderen	singular	1	4	Het meisje achter Bill bewondert de persoon.
Het meisje achter Bill stimuleert	Het meisje achter Bill stimuleren	singular	1	4	Het meisje achter Bill stimuleert de persoon.
Het meisje achter Bill ontmoedigt	Het meisje achter Bill ontmoedigen	singular	1	4	Het meisje achter Bill ontmoedigt de persoon.
Het meisje achter Bill begrijpt	Het meisje achter Bill begrijpen	singular	1	4	Het meisje achter Bill begrijpt de persoon.
Het meisje achter Bill verwart	Het meisje achter Bill verwarren	singular	1	4	Het meisje achter Bill verwart de persoon.
Het meisje achter Bill bemoedigt	Het meisje achter Bill bemoedigen	singular	1	4	Het meisje achter Bill bemoedigt de persoon.
Het meisje achter Bill bekritiseert	Het meisje achter Bill bekritiseren	singular	1	4	Het meisje achter Bill bekritiseert de persoon.
Het meisje achter Bill inspireert	Het meisje achter Bill inspireren	singular	1	4	Het meisje achter Bill inspireert de persoon.
Het meisje achter Bill vermijdt	Het meisje achter Bill vermijden	singular	1	4	Het meisje achter Bill vermijdt de persoon.
Het meisje achter Bill observeert	Het meisje achter Bill observeren	singular	1	4	Het meisje achter Bill observeert de persoon.
Het meisje achter Bill groet	Het meisje achter Bill groeten	singular	1	4	Het meisje achter Bill groet de persoon.
Het meisje achter Bill onthoudt	Het meisje achter Bill onthouden	singular	1	4	Het meisje achter Bill onthoudt de persoon.
Het meisje achter Bill kent	Het meisje achter Bill kennen	singular	1	4	Het meisje achter Bill kent de persoon.
Het meisje achter Bob bewondert	Het meisje achter Bob bewonderen	singular	1	4	Het meisje achter Bob bewondert de persoon.
Het meisje achter Bob stimuleert	Het meisje achter Bob stimuleren	singular	1	4	Het meisje achter Bob stimuleert de persoon.
Het meisje achter Bob ontmoedigt	Het meisje achter Bob ontmoedigen	singular	1	4	Het meisje achter Bob ontmoedigt de persoon.
Het meisje achter Bob begrijpt	Het meisje achter Bob begrijpen	singular	1	4	Het meisje achter Bob begrijpt de persoon.
Het meisje achter Bob verwart	Het meisje achter Bob verwarren	singular	1	4	Het meisje achter Bob verwart de persoon.
Het meisje achter Bob bemoedigt	Het meisje achter Bob bemoedigen	singular	1	4	Het meisje achter Bob bemoedigt de persoon.
Het meisje achter Bob bekritiseert	Het meisje achter Bob bekritiseren	singular	1	4	Het meisje achter Bob bekritiseert de persoon.
Het meisje achter Bob inspireert	Het meisje achter Bob inspireren	singular	1	4	Het meisje achter Bob inspireert de persoon.
Het meisje achter Bob vermijdt	Het meisje achter Bob vermijden	singular	1	4	Het meisje achter Bob vermijdt de persoon.
Het meisje achter Bob observeert	Het meisje achter Bob observeren	singular	1	4	Het meisje achter Bob observeert de persoon.
Het meisje achter Bob groet	Het meisje achter Bob groeten	singular	1	4	Het meisje achter Bob groet de persoon.
Het meisje achter Bob onthoudt	Het meisje achter Bob onthouden	singular	1	4	Het meisje achter Bob onthoudt de persoon.
Het meisje achter Bob kent	Het meisje achter Bob kennen	singular	1	4	Het meisje achter Bob kent de persoon.
Het meisje achter Sue bewondert	Het meisje achter Sue bewonderen	singular	1	4	Het meisje achter Sue bewondert de persoon.
Het meisje achter Sue stimuleert	Het meisje achter Sue stimuleren	singular	1	4	Het meisje achter Sue stimuleert de persoon.
Het meisje achter Sue ontmoedigt	Het meisje achter Sue ontmoedigen	singular	1	4	Het meisje achter Sue ontmoedigt de persoon.
Het meisje achter Sue begrijpt	Het meisje achter Sue begrijpen	singular	1	4	Het meisje achter Sue begrijpt de persoon.
Het meisje achter Sue verwart	Het meisje achter Sue verwarren	singular	1	4	Het meisje achter Sue verwart de persoon.
Het meisje achter Sue bemoedigt	Het meisje achter Sue bemoedigen	singular	1	4	Het meisje achter Sue bemoedigt de persoon.
Het meisje achter Sue bekritiseert	Het meisje achter Sue bekritiseren	singular	1	4	Het meisje achter Sue bekritiseert de persoon.
Het meisje achter Sue inspireert	Het meisje achter Sue inspireren	singular	1	4	Het meisje achter Sue inspireert de persoon.
Het meisje achter Sue vermijdt	Het meisje achter Sue vermijden	singular	1	4	Het meisje achter Sue vermijdt de persoon.
Het meisje achter Sue observeert	Het meisje achter Sue observeren	singular	1	4	Het meisje achter Sue observeert de persoon.
Het meisje achter Sue groet	Het meisje achter Sue groeten	singular	1	4	Het meisje achter Sue groet de persoon.
Het meisje achter Sue onthoudt	Het meisje achter Sue onthouden	singular	1	4	Het meisje achter Sue onthoudt de persoon.
Het meisje achter Sue kent	Het meisje achter Sue kennen	singular	1	4	Het meisje achter Sue kent de persoon.
Het meisje achter Mary bewondert	Het meisje achter Mary bewonderen	singular	1	4	Het meisje achter Mary bewondert de persoon.
Het meisje achter Mary stimuleert	Het meisje achter Mary stimuleren	singular	1	4	Het meisje achter Mary stimuleert de persoon.
Het meisje achter Mary ontmoedigt	Het meisje achter Mary ontmoedigen	singular	1	4	Het meisje achter Mary ontmoedigt de persoon.
Het meisje achter Mary begrijpt	Het meisje achter Mary begrijpen	singular	1	4	Het meisje achter Mary begrijpt de persoon.
Het meisje achter Mary verwart	Het meisje achter Mary verwarren	singular	1	4	Het meisje achter Mary verwart de persoon.
Het meisje achter Mary bemoedigt	Het meisje achter Mary bemoedigen	singular	1	4	Het meisje achter Mary bemoedigt de persoon.
Het meisje achter Mary bekritiseert	Het meisje achter Mary bekritiseren	singular	1	4	Het meisje achter Mary bekritiseert de persoon.
Het meisje achter Mary inspireert	Het meisje achter Mary inspireren	singular	1	4	Het meisje achter Mary inspireert de persoon.
Het meisje achter Mary vermijdt	Het meisje achter Mary vermijden	singular	1	4	Het meisje achter Mary vermijdt de persoon.
Het meisje achter Mary observeert	Het meisje achter Mary observeren	singular	1	4	Het meisje achter Mary observeert de persoon.
Het meisje achter Mary groet	Het meisje achter Mary groeten	singular	1	4	Het meisje achter Mary groet de persoon.
Het meisje achter Mary onthoudt	Het meisje achter Mary onthouden	singular	1	4	Het meisje achter Mary onthoudt de persoon.
Het meisje achter Mary kent	Het meisje achter Mary kennen	singular	1	4	Het meisje achter Mary kent de persoon.
Het meisje onder Barbara bewondert	Het meisje onder Barbara bewonderen	singular	1	4	Het meisje onder Barbara bewondert de persoon.
Het meisje onder Barbara stimuleert	Het meisje onder Barbara stimuleren	singular	1	4	Het meisje onder Barbara stimuleert de persoon.
Het meisje onder Barbara ontmoedigt	Het meisje onder Barbara ontmoedigen	singular	1	4	Het meisje onder Barbara ontmoedigt de persoon.
