agreement	disagreement	number	subject_index	verb_index	completed
De vader die de moeders begrijpen , groet	De vader die de moeders begrijpen , groeten	singular	1	7	De vader die de moeders begrijpen , groet de persoon .
De vader die de moeders begrijpen , bemoedigt	De vader die de moeders begrijpen , bemoedigen	singular	1	7	De vader die de moeders begrijpen , bemoedigt de persoon .
De vader die de moeders begrijpen , observeert	De vader die de moeders begrijpen , observeren	singular	1	7	De vader die de moeders begrijpen , observeert de persoon .
De vader die de moeders begrijpen , ontmoedigt	De vader die de moeders begrijpen , ontmoedigen	singular	1	7	De vader die de moeders begrijpen , ontmoedigt de persoon .
De vader die de moeders begrijpen , verwart	De vader die de moeders begrijpen , verwarren	singular	1	7	De vader die de moeders begrijpen , verwart de persoon .
De vader die de moeders groeten , begrijpt	De vader die de moeders groeten , begrijpen	singular	1	7	De vader die de moeders groeten , begrijpt de persoon .
De vader die de moeders groeten , bemoedigt	De vader die de moeders groeten , bemoedigen	singular	1	7	De vader die de moeders groeten , bemoedigt de persoon .
De vader die de moeders groeten , observeert	De vader die de moeders groeten , observeren	singular	1	7	De vader die de moeders groeten , observeert de persoon .
De vader die de moeders groeten , ontmoedigt	De vader die de moeders groeten , ontmoedigen	singular	1	7	De vader die de moeders groeten , ontmoedigt de persoon .
De vader die de moeders groeten , verwart	De vader die de moeders groeten , verwarren	singular	1	7	De vader die de moeders groeten , verwart de persoon .
De vader die de moeders bemoedigen , begrijpt	De vader die de moeders bemoedigen , begrijpen	singular	1	7	De vader die de moeders bemoedigen , begrijpt de persoon .
De vader die de moeders bemoedigen , groet	De vader die de moeders bemoedigen , groeten	singular	1	7	De vader die de moeders bemoedigen , groet de persoon .
De vader die de moeders bemoedigen , observeert	De vader die de moeders bemoedigen , observeren	singular	1	7	De vader die de moeders bemoedigen , observeert de persoon .
De vader die de moeders bemoedigen , ontmoedigt	De vader die de moeders bemoedigen , ontmoedigen	singular	1	7	De vader die de moeders bemoedigen , ontmoedigt de persoon .
De vader die de moeders bemoedigen , verwart	De vader die de moeders bemoedigen , verwarren	singular	1	7	De vader die de moeders bemoedigen , verwart de persoon .
De vader die de moeders observeren , begrijpt	De vader die de moeders observeren , begrijpen	singular	1	7	De vader die de moeders observeren , begrijpt de persoon .
De vader die de moeders observeren , groet	De vader die de moeders observeren , groeten	singular	1	7	De vader die de moeders observeren , groet de persoon .
De vader die de moeders observeren , bemoedigt	De vader die de moeders observeren , bemoedigen	singular	1	7	De vader die de moeders observeren , bemoedigt de persoon .
De vader die de moeders observeren , ontmoedigt	De vader die de moeders observeren , ontmoedigen	singular	1	7	De vader die de moeders observeren , ontmoedigt de persoon .
De vader die de moeders observeren , verwart	De vader die de moeders observeren , verwarren	singular	1	7	De vader die de moeders observeren , verwart de persoon .
De vader die de moeders ontmoedigen , begrijpt	De vader die de moeders ontmoedigen , begrijpen	singular	1	7	De vader die de moeders ontmoedigen , begrijpt de persoon .
De vader die de moeders ontmoedigen , groet	De vader die de moeders ontmoedigen , groeten	singular	1	7	De vader die de moeders ontmoedigen , groet de persoon .
De vader die de moeders ontmoedigen , bemoedigt	De vader die de moeders ontmoedigen , bemoedigen	singular	1	7	De vader die de moeders ontmoedigen , bemoedigt de persoon .
De vader die de moeders ontmoedigen , observeert	De vader die de moeders ontmoedigen , observeren	singular	1	7	De vader die de moeders ontmoedigen , observeert de persoon .
De vader die de moeders ontmoedigen , verwart	De vader die de moeders ontmoedigen , verwarren	singular	1	7	De vader die de moeders ontmoedigen , verwart de persoon .
De vader die de moeders verwarren , begrijpt	De vader die de moeders verwarren , begrijpen	singular	1	7	De vader die de moeders verwarren , begrijpt de persoon .
De vader die de moeders verwarren , groet	De vader die de moeders verwarren , groeten	singular	1	7	De vader die de moeders verwarren , groet de persoon .
De vader die de moeders verwarren , bemoedigt	De vader die de moeders verwarren , bemoedigen	singular	1	7	De vader die de moeders verwarren , bemoedigt de persoon .
De vader die de moeders verwarren , observeert	De vader die de moeders verwarren , observeren	singular	1	7	De vader die de moeders verwarren , observeert de persoon .
De vader die de moeders verwarren , ontmoedigt	De vader die de moeders verwarren , ontmoedigen	singular	1	7	De vader die de moeders verwarren , ontmoedigt de persoon .
De vader die de slachtoffers begrijpen , groet	De vader die de slachtoffers begrijpen , groeten	singular	1	7	De vader die de slachtoffers begrijpen , groet de persoon .
De vader die de slachtoffers begrijpen , bemoedigt	De vader die de slachtoffers begrijpen , bemoedigen	singular	1	7	De vader die de slachtoffers begrijpen , bemoedigt de persoon .
De vader die de slachtoffers begrijpen , observeert	De vader die de slachtoffers begrijpen , observeren	singular	1	7	De vader die de slachtoffers begrijpen , observeert de persoon .
De vader die de slachtoffers begrijpen , ontmoedigt	De vader die de slachtoffers begrijpen , ontmoedigen	singular	1	7	De vader die de slachtoffers begrijpen , ontmoedigt de persoon .
De vader die de slachtoffers begrijpen , verwart	De vader die de slachtoffers begrijpen , verwarren	singular	1	7	De vader die de slachtoffers begrijpen , verwart de persoon .
De vader die de slachtoffers groeten , begrijpt	De vader die de slachtoffers groeten , begrijpen	singular	1	7	De vader die de slachtoffers groeten , begrijpt de persoon .
De vader die de slachtoffers groeten , bemoedigt	De vader die de slachtoffers groeten , bemoedigen	singular	1	7	De vader die de slachtoffers groeten , bemoedigt de persoon .
De vader die de slachtoffers groeten , observeert	De vader die de slachtoffers groeten , observeren	singular	1	7	De vader die de slachtoffers groeten , observeert de persoon .
De vader die de slachtoffers groeten , ontmoedigt	De vader die de slachtoffers groeten , ontmoedigen	singular	1	7	De vader die de slachtoffers groeten , ontmoedigt de persoon .
De vader die de slachtoffers groeten , verwart	De vader die de slachtoffers groeten , verwarren	singular	1	7	De vader die de slachtoffers groeten , verwart de persoon .
De vader die de slachtoffers bemoedigen , begrijpt	De vader die de slachtoffers bemoedigen , begrijpen	singular	1	7	De vader die de slachtoffers bemoedigen , begrijpt de persoon .
